Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,0
18028-42869,G,Matt,,Murray,21.41935484,31,9400,PIT@CLS,PIT,CLS,,,1
18028-15268,G,John,,Gibson,18.04444444,45,9100,FLA@ANH,ANH,FLA,,,1
18028-8594,C,Sidney,,Crosby,18.59599976,50,8800,PIT@CLS,PIT,CLS,,,1
18028-12163,G,Sergei,,Bobrovsky,20.99555528,45,8500,PIT@CLS,CLS,PIT,,,1
18028-8595,C,Evgeni,,Malkin,17.14081682,49,8500,PIT@CLS,PIT,CLS,,,2
18028-8712,G,Roberto,,Luongo,17.22222222,36,8400,FLA@ANH,FLA,ANH,,,1
18028-8780,G,Jonathan,,Bernier,12.685714,21,8300,FLA@ANH,ANH,FLA,,,0
18028-8612,G,Marc-Andre,,Fleury,16.64000041,30,8300,PIT@CLS,PIT,CLS,,,0
18028-8252,G,Cam,,Ward,15.34222276,45,8000,COL@CAR,CAR,COL,,,1
18028-8732,G,Semyon,,Varlamov,12.96666718,24,7700,COL@CAR,COL,CAR,IR,Groin,0
18028-9052,G,James,,Reimer,15.61739184,23,7700,FLA@ANH,FLA,ANH,,,0
18028-54065,G,Joonas,,Korpisalo,17.46666718,6,7500,PIT@CLS,CLS,PIT,,,0
18028-40023,G,Anton,,Forsberg,2.400000095,1,7500,PIT@CLS,CLS,PIT,,,0
18028-9005,G,Jhonas,,Enroth,4.399999936,6,7400,FLA@ANH,ANH,FLA,,,0
18028-8682,W,Phil,,Kessel,14.46607099,56,7400,PIT@CLS,PIT,CLS,,,3
18028-8253,G,Michael,,Leighton,10,4,7300,COL@CAR,CAR,COL,,,0
18028-8134,C,Ryan,,Getzlaf,12.15490244,51,7300,FLA@ANH,ANH,FLA,,,1
18028-11370,G,Eddie,,Lack,3.600000064,6,7200,COL@CAR,CAR,COL,,,0
18028-12654,G,Calvin,,Pickard,14.29333293,30,7200,COL@CAR,COL,CAR,,,0
18028-10881,G,Jeremy,,Smith,17.60000038,1,7200,COL@CAR,COL,CAR,,,1
18028-9366,G,Dustin,,Tokarski,4,1,7200,FLA@ANH,ANH,FLA,,,0
18028-8608,D,Kris,,Letang,15.18157959,38,7200,PIT@CLS,PIT,CLS,,,1
18028-8765,W,Patric,,Hornqvist,13.77800049,50,7100,PIT@CLS,PIT,CLS,,,2
18028-42643,G,Spencer,,Martin,4.799999873,3,7100,COL@CAR,COL,CAR,,,0
18028-14056,W,Cam,,Atkinson,14.56964329,56,7000,PIT@CLS,CLS,PIT,,,1
18028-41393,C,Aleksander,,Barkov,12.75999985,40,6700,FLA@ANH,FLA,ANH,,,1
18028-8142,W,Corey,,Perry,11.41551682,58,6700,FLA@ANH,ANH,FLA,,,2
18028-8702,C,Ryan,,Kesler,12.73965559,58,6700,FLA@ANH,ANH,FLA,,,3
18028-8539,W,Nick,,Foligno,12.7981477,54,6400,PIT@CLS,CLS,PIT,,,3
18028-41391,C,Nathan,,MacKinnon,12.50727317,55,6400,COL@CAR,COL,CAR,,,1
18028-15217,W,Jonathan,,Huberdeau,23.125,4,6200,FLA@ANH,FLA,ANH,,,1
18028-12439,W,Jeff,,Skinner,13.28461515,52,6200,COL@CAR,CAR,COL,,,2
18028-15283,C,Vincent,,Trocheck,12.83090931,55,6200,FLA@ANH,FLA,ANH,,,2
18028-8275,C,Matt,,Duchene,11.27400024,50,5900,COL@CAR,COL,CAR,,,2
18028-73946,W,Sebastian,,Aho,10.63584929,53,5900,COL@CAR,CAR,COL,,,1
18028-58877,W,Conor,,Sheary,12.84285772,42,5900,PIT@CLS,PIT,CLS,IR,Upper body,0
18028-14473,W,Jakob,,Silfverberg,11.68363592,55,5800,FLA@ANH,ANH,FLA,,,1
18028-15269,C,Rickard,,Rakell,11.7042548,47,5700,FLA@ANH,ANH,FLA,,,2
18028-54743,C,Alexander,,Wennberg,10.78749956,56,5700,PIT@CLS,CLS,PIT,,,2
18028-14178,D,Justin,,Faulk,12.10434756,46,5600,COL@CAR,CAR,COL,,,1
18028-8596,C,Jordan,,Staal,10.39999987,46,5500,COL@CAR,CAR,COL,,,1
18028-15280,W,Brandon,,Saad,11.43214308,56,5500,PIT@CLS,CLS,PIT,,,2
18028-14697,W,Gabriel,,Landeskog,9.602222358,45,5400,COL@CAR,COL,CAR,,,1
18028-41394,D,Seth,,Jones,11.97599976,50,5200,PIT@CLS,CLS,PIT,,,1
18028-23228,D,Justin,,Schultz,11.27321407,56,5200,PIT@CLS,PIT,CLS,DTD,Undisclosed,3
18028-68640,D,Zach,,Werenski,11.18928528,56,5100,PIT@CLS,CLS,PIT,,,1
18028-8515,C,Brandon,,Dubinsky,8.383333559,54,5100,PIT@CLS,CLS,PIT,,,1
18028-37968,W,Jonathan,,Marchessault,11.34791692,48,5100,FLA@ANH,FLA,ANH,,,3
18028-41390,W,Elias,,Lindholm,10.4139532,43,5100,COL@CAR,CAR,COL,,,1
18028-9079,D,Keith,,Yandle,9.867272949,55,5000,FLA@ANH,FLA,ANH,,,1
18028-8598,W,Chris,,Kunitz,8.43,50,5000,PIT@CLS,PIT,CLS,,,1
18028-14561,W,Jaromir,,Jagr,8.925454434,55,4900,FLA@ANH,FLA,ANH,,,1
18028-8241,W,Jussi,,Jokinen,7.673333062,45,4800,FLA@ANH,FLA,ANH,,,2
18028-55607,D,Aaron,,Ekblad,9.223636142,55,4800,FLA@ANH,FLA,ANH,,,2
18028-12460,D,Cam,,Fowler,11.18448297,58,4800,FLA@ANH,ANH,FLA,,,1
18028-21689,W,Reilly,,Smith,8.515094109,53,4800,FLA@ANH,FLA,ANH,,,2
18028-8647,D,Erik,,Johnson,11.69130408,23,4800,COL@CAR,COL,CAR,IR,Leg,0
18028-15251,W,Boone,,Jenner,9.144642421,56,4700,PIT@CLS,CLS,PIT,,,1
18028-43178,W,Teuvo,,Teravainen,8.480769231,52,4700,COL@CAR,CAR,COL,,,3
18028-39464,D,Hampus,,Lindholm,7.422222222,45,4600,FLA@ANH,ANH,FLA,,,2
18028-39249,C,Nick,,Bjugstad,5.766666554,27,4600,FLA@ANH,FLA,ANH,,,3
18028-15247,C,Victor,,Rask,10.38301864,53,4600,COL@CAR,CAR,COL,,,2
18028-13981,D,Tyson,,Barrie,9.827659445,47,4600,COL@CAR,COL,CAR,,,2
18028-11122,C,Nick,,Bonino,8.823214395,56,4500,PIT@CLS,PIT,CLS,,,3
18028-66737,W,Mikko,,Rantanen,8.372000122,50,4500,COL@CAR,COL,CAR,,,1
18028-8357,W,Andrew,,Cogliano,8.248275757,58,4400,FLA@ANH,ANH,FLA,,,3
18028-8327,D,Trevor,,Daley,8.407842898,51,4300,PIT@CLS,PIT,CLS,,,2
18028-54477,W,Bryan,,Rust,8.647999878,50,4300,PIT@CLS,PIT,CLS,IR,Arm,0
18028-8295,W,Antoine,,Vermette,6.781034272,58,4200,FLA@ANH,ANH,FLA,O,Suspension,0
18028-8562,W,Scott,,Hartnell,8.245454545,55,4200,PIT@CLS,CLS,PIT,DTD,Lower body,0
18028-66680,D,Jaccob,,Slavin,8.505660147,53,4200,COL@CAR,CAR,COL,,,2
18028-14474,D,Sami,,Vatanen,8.406122324,49,4200,FLA@ANH,ANH,FLA,IR,Lower body,0
18028-70571,W,Jake,,Guentzel,8.926316111,19,4200,PIT@CLS,PIT,CLS,,,1
18028-39990,C,William,,Karlsson,5.76607132,56,4100,PIT@CLS,CLS,PIT,,,3
18028-8356,W,Sam,,Gagner,9.823636142,55,4100,PIT@CLS,CLS,PIT,,,4
18028-11254,D,Ian,,Cole,8.508928571,56,4100,PIT@CLS,PIT,CLS,,,3
18028-15357,W,Carl,,Hagelin,7.474510043,51,4100,PIT@CLS,PIT,CLS,IR,Concussion,0
18028-8222,W,Jarome,,Iginla,6.37090898,55,3900,COL@CAR,COL,CAR,,,3
18028-9270,D,Jason,,Demers,7.716363525,55,3900,FLA@ANH,FLA,ANH,,,1
18028-62277,D,Michael,,Matheson,8.55740752,54,3900,FLA@ANH,FLA,ANH,,,3
18028-59117,W,Nick,,Ritchie,6.917857034,56,3900,FLA@ANH,ANH,FLA,,,2
18028-8992,W,Colton,,Sceviour,7.258490796,53,3800,FLA@ANH,FLA,ANH,,,4
18028-62927,C,Derek,,Ryan,7.084999847,40,3800,COL@CAR,CAR,COL,,,3
18028-23286,D,Ryan,,Murray,5.837255141,51,3800,PIT@CLS,CLS,PIT,,,3
18028-42772,W,Josh,,Anderson,7.083636475,55,3700,PIT@CLS,CLS,PIT,,,3
18028-8218,W,Rene,,Bourque,6.851162933,43,3700,COL@CAR,COL,CAR,DTD,Lower body,0
18028-64101,D,Noah,,Hanifin,5.88269219,52,3700,COL@CAR,CAR,COL,,,3
18028-8683,W,Lee,,Stempniak,7.464151059,53,3700,COL@CAR,CAR,COL,,,2
18028-8687,D,Francois,,Beauchemin,7.938889115,54,3700,COL@CAR,COL,CAR,,,1
18028-12299,D,David,,Savard,7.400000254,48,3600,PIT@CLS,CLS,PIT,,,2
18028-42862,D,Olli,,Maatta,5.970370257,54,3600,PIT@CLS,PIT,CLS,IR,Hand,0
18028-21926,D,Brian,,Dumoulin,5.782222493,45,3600,PIT@CLS,PIT,CLS,,,1
18028-8410,D,Jack,,Johnson,7.094642639,56,3600,PIT@CLS,CLS,PIT,,,2
18028-42994,D,Nikita,,Zadorov,5.174073961,54,3600,COL@CAR,COL,CAR,,,1
18028-8503,W,Blake,,Comeau,5,51,3500,COL@CAR,COL,CAR,,,3
18028-12611,D,Alex,,Petrovic,6.654545177,22,3500,FLA@ANH,FLA,ANH,,,3
18028-39252,W,Brock,,McGinn,6.389189024,37,3500,COL@CAR,CAR,COL,,,3
18028-15246,D,Ryan,,Murphy,3.345454476,11,3500,COL@CAR,CAR,COL,,,0
18028-15252,C,Lukas,,Sedlak,4.444444444,54,3500,PIT@CLS,CLS,PIT,,,4
18028-54194,D,Josh,,Manson,4.462068755,58,3500,FLA@ANH,ANH,FLA,,,3
18028-8711,D,Kevin,,Bieksa,4.955172309,58,3400,FLA@ANH,ANH,FLA,,,1
18028-43093,D,Shea,,Theodore,6.31333313,30,3400,FLA@ANH,ANH,FLA,,,3
18028-39295,C,Carl,,Soderberg,5.95818204,55,3400,COL@CAR,COL,CAR,,,4
18028-66709,C,Jared,,McCann,4.844827586,29,3400,FLA@ANH,FLA,ANH,,,0
18028-73963,W,A.J.,,Greer,5.120000076,5,3400,COL@CAR,COL,CAR,,,0
18028-62195,D,Brett,,Pesce,6.932075357,53,3400,COL@CAR,CAR,COL,DTD,Illness,2
18028-62724,W,Andreas,,Martinsen,3.7469389,49,3300,COL@CAR,COL,CAR,,,4
18028-70416,D,Markus,,Nutivaara,3.76666673,48,3300,PIT@CLS,CLS,PIT,,,3
18028-11293,W,Joe,,Colborne,2.973333401,45,3300,COL@CAR,COL,CAR,,,4
